provinceName,districtName,country,percentage
서울특별시,은평구,홍콩,5.4
서울특별시,은평구,베트남,4.7
서울특별시,은평구,말레이시아,4.6
서울특별시,은평구,인도네시아,4.1
서울특별시,은평구,태국,3.8
서울특별시,은평구,필리핀,3.6
서울특별시,은평구,싱가포르,2.7
서울특별시,은평구,캐나다,2.6
서울특별시,은평구,독일,2.3
서울특별시,은평구,오스트레일리아,1.6
서울특별시,은평구,프랑스,1.4
서울특별시,은평구,영국,1.1
서울특별시,은평구,러시아,1.1
서울특별시,은평구,몽골,0.9
서울특별시,은평구,인도,0.7
서울특별시,은평구,사우디아라비아,0.5
서울특별시,은평구,카자흐스탄,0.3
서울특별시,은평구,튀르키예,0.3
서울특별시,은평구,멕시코,0.3
서울특별시,은평구,아랍에미리트,0.1
서울특별시,종로구,일본,18.8
서울특별시,종로구,대만,14.5
서울특별시,종로구,중국,13.8
서울특별시,종로구,기타,8.9
서울특별시,종로구,홍콩,5.9
서울특별시,종로구,미국,5.4
서울특별시,종로구,싱가포르,4.7
서울특별시,종로구,필리핀,3.9
서울특별시,종로구,말레이시아,3.8
서울특별시,종로구,인도네시아,3.6
서울특별시,종로구,독일,2.3
서울특별시,종로구,프랑스,2.0
서울특별시,종로구,베트남,1.7
서울특별시,종로구,캐나다,1.6
서울특별시,종로구,오스트레일리아,1.5
서울특별시,종로구,러시아,1.5
서울특별시,종로구,태국,1.5
서울특별시,종로구,영국,1.2
서울특별시,종로구,인도,0.8
서울특별시,종로구,몽골,0.6
서울특별시,종로구,카자흐스탄,0.5
서울특별시,종로구,튀르키예,0.5
서울특별시,종로구,사우디아라비아,0.4
서울특별시,종로구,멕시코,0.4
서울특별시,종로구,아랍에미리트,0.1
서울특별시,중구,일본,21.8
서울특별시,중구,중국,15.2
서울특별시,중구,대만,13.5
서울특별시,중구,기타,7.0
서울특별시,중구,홍콩,5.9
서울특별시,중구,싱가포르,5.6
서울특별시,중구,필리핀,4.6
서울특별시,중구,미국,4.1
서울특별시,중구,말레이시아,4.0
서울특별시,중구,인도네시아,3.9
서울특별시,중구,태국,1.8
서울특별시,중구,독일,1.6
서울특별시,중구,캐나다,1.5
서울특별시,중구,프랑스,1.5
서울특별시,중구,오스트레일리아,1.3
서울특별시,중구,러시아,1.3
서울특별시,중구,베트남,1.2
서울특별시,중구,영국,1.0
서울특별시,중구,몽골,0.8
서울특별시,중구,인도,0.7
서울특별시,중구,카자흐스탄,0.5
서울특별시,중구,튀르키예,0.5
서울특별시,중구,사우디아라비아,0.4
서울특별시,중구,멕시코,0.3
서울특별시,중구,아랍에미리트,0.1
서울특별시,중랑구,중국,20.6
서울특별시,중랑구,몽골,16.9
서울특별시,중랑구,기타,12.0
서울특별시,중랑구,일본,8.8
서울특별시,중랑구,미국,7.8
서울특별시,중랑구,베트남,4.1
서울특별시,중랑구,대만,3.5
서울특별시,중랑구,홍콩,3.3
서울특별시,중랑구,필리핀,3.3
서울특별시,중랑구,캐나다,3.1
서울특별시,중랑구,인도네시아,2.3
서울특별시,중랑구,말레이시아,2.2
서울특별시,중랑구,오스트레일리아,1.8
서울특별시,중랑구,독일,1.7
서울특별시,중랑구,싱가포르,1.6
서울특별시,중랑구,태국,1.6
서울특별시,중랑구,프랑스,1.2
서울특별시,중랑구,영국,1.0
서울특별시,중랑구,러시아,0.9
서울특별시,중랑구,인도,0.6
서울특별시,중랑구,카자흐스탄,0.5
서울특별시,중랑구,멕시코,0.4
서울특별시,중랑구,사우디아라비아,0.3
서울특별시,중랑구,튀르키예,0.3
서울특별시,중랑구,아랍에미리트,0.1
부산광역시,강서구,대만,20.5
부산광역시,강서구,일본,15.8
부산광역시,강서구,기타,14.9
부산광역시,강서구,중국,11.1
부산광역시,강서구,미국,9.7
부산광역시,강서구,베트남,4.7
부산광역시,강서구,홍콩,4.2
부산광역시,강서구,필리핀,3.4
부산광역시,강서구,태국,2.7
부산광역시,강서구,인도네시아,2.1
부산광역시,강서구,영국,1.6
부산광역시,강서구,싱가포르,1.5
부산광역시,강서구,인도,1.2
부산광역시,강서구,말레이시아,1.2
부산광역시,강서구,프랑스,1.1
부산광역시,강서구,러시아,1.1
부산광역시,강서구,몽골,0.8
부산광역시,강서구,독일,0.7
부산광역시,강서구,캐나다,0.6
부산광역시,강서구,오스트레일리아,0.6
부산광역시,강서구,멕시코,0.2
부산광역시,강서구,카자흐스탄,0.1
부산광역시,강서구,튀르키예,0.1
부산광역시,강서구,아랍에미리트,0.0
부산광역시,강서구,사우디아라비아,0.0
부산광역시,금정구,중국,19.8
부산광역시,금정구,기타,16.7
부산광역시,금정구,일본,11.6
부산광역시,금정구,대만,10.3
부산광역시,금정구,미국,4.9
부산광역시,금정구,베트남,4.4
부산광역시,금정구,인도네시아,3.8
부산광역시,금정구,독일,3.7
부산광역시,금정구,홍콩,3.4
부산광역시,금정구,프랑스,2.1
부산광역시,금정구,싱가포르,2.0
부산광역시,금정구,러시아,2.0
부산광역시,금정구,필리핀,1.9
부산광역시,금정구,인도,1.8
부산광역시,금정구,말레이시아,1.8
부산광역시,금정구,몽골,1.7
부산광역시,금정구,캐나다,1.6
부산광역시,금정구,영국,1.5
부산광역시,금정구,오스트레일리아,1.4
부산광역시,금정구,카자흐스탄,1.4
부산광역시,금정구,태국,1.2
부산광역시,금정구,멕시코,0.6
부산광역시,금정구,튀르키예,0.5
부산광역시,금정구,사우디아라비아,0.1
부산광역시,금정구,아랍에미리트,0.0
부산광역시,기장군,대만,26.3
부산광역시,기장군,중국,11.9
부산광역시,기장군,기타,10.0
부산광역시,기장군,일본,8.9
